subject,beta,measure,measure_type,n_obs,delta_aic,lossy_est,lossy_se
ZMG,0.7,GPT,late,1964,-1.8893923318792076,0.013801826748834253,0.04157352965027588
ZMG,0.7,TRT,late,1964,-1.9893619248541654,-0.0034206820709192457,0.03314183883268336
ZMG,0.7,reg,late,4218,-1.704659546449875,-0.0972710259922588,0.17978105174108688
ZMG,0.9,FFD,early,1964,-1.8798977035439748,-0.012085812760657524,0.034838819166010206
ZMG,0.9,GD,early,1964,-1.7027049175521825,0.023512327848715046,0.04317548495567779
ZMG,0.9,GPT,late,1964,-1.636576665139728,0.0406249463672807,0.06736450283945652
ZMG,0.9,TRT,late,1964,-1.992454885297775,0.004620789655453057,0.053281945459049296
ZMG,0.9,reg,late,4218,-1.8790355923165407,0.10739569851380544,0.30631741788970257
ZPH,0.1,FFD,early,2073,-1.9996921852034575,-1.99249968247727e-4,0.011383658381976346
ZPH,0.1,GD,early,2073,1.6855290378225618,-0.030978247448985148,0.01615186482007958
ZPH,0.1,GPT,late,2073,-0.969907678081654,-0.022539255628511553,0.022233515761851248
ZPH,0.1,TRT,late,2073,2.112549641107762,-0.03841554624835749,0.018963022837621284
ZPH,0.1,reg,late,4206,3.2853406227950472,-0.19662275821711372,0.08508918433158533
ZPH,0.3,FFD,early,2079,-1.9991491811997548,3.844437189129578e-4,0.013317719730032951
ZPH,0.3,GD,early,2079,1.8331877417913347,-0.037019215679990496,0.018894531227054454
ZPH,0.3,GPT,late,2079,-1.8160293143009767,-0.011175215154943414,0.02604718852835145
ZPH,0.3,TRT,late,2079,0.7131501610783744,-0.03671906848111828,0.022282179486945525
ZPH,0.3,reg,late,4218,4.897955028813158,-0.26624301446311033,0.10164649599631594
ZPH,0.5,FFD,early,2079,-1.9186076516270987,0.004704764182801802,0.016520126994358803
ZPH,0.5,GD,early,2079,3.938536214904161,-0.05688509029956114,0.023274808745562977
ZPH,0.5,GPT,late,2079,-1.7957674035533273,-0.014634450206088348,0.032318253752927156
ZPH,0.5,TRT,late,2079,3.1355955162944156,-0.06248342358756978,0.027498382236520177
ZPH,0.5,reg,late,4218,7.971004589187942,-0.41016180303833616,0.1316423457439811
ZPH,0.7,FFD,early,2079,-1.9062726711345022,0.006401062877295628,0.02092683184533779
ZPH,0.7,GD,early,2079,2.2455687619039963,-0.06091349134603208,0.029461478401117968
ZPH,0.7,GPT,late,2079,-1.9732359784611617,-0.006731793650258538,0.04117660698198665
ZPH,0.7,TRT,late,2079,0.29764409311974305,-0.052851679029593236,0.03477029709934835
ZPH,0.7,reg,late,4218,3.9422574677691955,-0.41412645565243883,0.1724618706913534
ZPH,0.9,FFD,early,2079,-1.993378547627799,0.002826691128668776,0.03477417305092833
ZPH,0.9,GD,early,2079,1.3485699148914136,-0.08952440477814572,0.04872021660155767
ZPH,0.9,GPT,late,2079,-1.1576296594030282,-0.06337026654158628,0.06886404486559944
ZPH,0.9,TRT,late,2079,0.4177384572867595,-0.09002387289295102,0.05766181042094506
ZPH,0.9,reg,late,4218,4.476293314699433,-0.7691035336285903,0.3083133426451077
